0.014212 -0.019404 0.999711

# Image: frame_00092.jpg
0.999887 0.004655 -0.014275
-0.004483 0.999917 0.012042
0.014330 -0.011976 0.999826

# Image: frame_00094.jpg
0.999876 0.003167 -0.015433
-0.002965 0.999910 0.013068
0.015473 -0.013021 0.999795

# Image: frame_00093.jpg
0.999879 0.004019 -0.015033
-0.003832 0.999915 0.012473
0.015082 -0.012414 0.999809

# Image: frame_00104.jpg
0.999905 -0.003369 -0.013343
0.003622 0.999813 0.018980
0.013276 -0.019027 0.999731

# Image: frame_00105.jpg
0.999912 -0.003787 -0.012750
0.004027 0.999814 0.018871
0.012676 -0.018920 0.999741

# Image: frame_00096.jpg
0.999864 0.002221 -0.016363
-0.001967 0.999878 0.015506
0.016396 -0.015472 0.999746

# Image: frame_00107.jpg
0.999937 -0.005473 -0.009842
0.005671 0.999780 0.020188
0.009730 -0.020243 0.999748

# Image: frame_00108.jpg
0.999957 -0.006037 -0.007081
0.006182 0.999768 0.020641
0.006955 -0.020683 0.999762

# Image: frame_00110.jpg
0.999966 -0.007296 -0.003894
0.007382 0.999719 0.022534
0.003728 -0.022562 0.999738

# Image: frame_00109.jpg
0.999964 -0.006312 -0.005752
0.006433 0.999754 0.021228
0.005616 -0.021264 0.999758

# Image: frame_00111.jpg
0.999967 -0.007666 -0.002705
0.007727 0.999699 0.023298
0.002525 -0.023318 0.999725

# Image: frame_00102.jpg
0.999889 -0.002204 -0.014702
0.002480 0.999819 0.018844
0.014658 -0.018879 0.999714

# Image: frame_00112.jpg
0.999967 -0.007787 -0.002485
0.007842 0.999706 0.022965
0.002306 -0.022983 0.999733

# Image: frame_00106.jpg
0.999913 -0.004441 -0.012428
0.004677 0.999808 0.019018
0.012341 -0.019075 0.999742

# Image: frame_00114.jpg
0.999960 -0.008779 -0.001658
0.008816 0.999688 0.023371
0.001452 -0.023385 0.999725

# Image: frame_00113.jpg
0.999962 -0.008471 -0.001938
0.008515 0.999678 0.023900
0.001735 -0.023916 0.999712

# Image: frame_00117.jpg
0.999939 -0.010877 -0.001837
0.010917 0.999669 0.023309
0.001583 -0.023327 0.999727

# Image: frame_00118.jpg
0.999932 -0.011450 -0.001974
0.011493 0.999670 0.022953
0.001710 -0.022974 0.999735

# Image: frame_00119.jpg
0.999929 -0.011618 -0.002493
0.011671 0.999683 0.022294
0.002234 -0.022322 0.999748

# Image: frame_00120.jpg
0.999927 -0.011720 -0.002797
0.011777 0.999700 0.021468
0.002544 -0.021499 0.999766

# Image: frame_00121.jpg
0.999924 -0.011933 -0.003102
0.011996 0.999709 0.020916
0.002852 -0.020952 0.999776

# Image: frame_00122.jpg
0.999922 -0.012050 -0.003382
0.012116 0.999720 0.020344
0.003136 -0.020383 0.999787
