# Image: frame_00207.jpg
0.020946 2.408568 -3.355440

# Image: frame_00203.jpg
0.029681 2.326869 -3.387177

# Image: frame_00204.jpg
0.044338 2.365517 -3.447400

# Image: frame_00208.jpg
0.023834 2.432258 -3.352617

# Image: frame_00210.jpg
-0.036387 2.439884 -3.183591

# Image: frame_00209.jpg
-0.012831 2.413556 -3.202601

