Frame 108: [427.75, 639.05], [452.78, 636.18], [428.96, 696.86], [455.98, 705.27]
Frame 109: [427.88, 638.87], [452.79, 636.15], [429.23, 696.70], [456.40, 705.19]
Frame 110: [428.06, 638.50], [453.24, 635.48], [429.51, 696.29], [457.52, 704.89]
Frame 111: [428.19, 638.44], [453.28, 635.17], [429.53, 696.25], [457.56, 704.84]
Frame 112: [428.19, 638.44], [453.28, 635.16], [429.53, 696.25], [457.54, 704.83]
Frame 113: [428.26, 638.35], [453.33, 635.06], [429.71, 696.18], [458.24, 704.77]
Frame 114: [428.35, 638.39], [453.41, 635.02], [429.84, 696.22], [457.69, 704.72]
Frame 115: [428.47, 638.58], [453.88, 634.95], [430.09, 696.42], [457.97, 704.88]
Frame 116: [428.49, 638.60], [453.90, 634.97], [430.30, 696.54], [457.57, 705.07]
Frame 117: [428.57, 638.77], [454.01, 634.95], [430.42, 696.62], [457.72, 705.20]
Frame 118: [428.57, 638.77], [454.01, 634.95], [430.42, 696.62], [457.72, 705.20]
Frame 119: [428.58, 638.85], [454.10, 634.88], [430.57, 696.75], [457.69, 705.18]
Frame 120: [428.78, 638.98], [454.31, 634.84], [430.75, 696.94], [457.90, 705.40]
Frame 121: [429.01, 638.98], [454.54, 634.87], [430.92, 697.16], [458.01, 705.51]
Frame 122: [429.02, 639.09], [454.55, 634.89], [430.92, 697.18], [458.40, 705.58]
Frame 123: [429.02, 639.09], [454.55, 634.88], [430.91, 697.17], [458.39, 705.58]
Frame 124: [429.11, 639.15], [454.64, 634.87], [430.98, 697.20], [458.32, 705.58]
Frame 125: [429.22, 639.33], [454.80, 634.89], [431.14, 697.44], [458.82, 705.81]
Frame 126: [429.23, 639.36], [454.87, 634.95], [431.14, 697.45], [458.76, 705.88]
Frame 127: [429.23, 639.36], [454.87, 634.96], [431.14, 697.45], [458.77, 705.88]
Frame 128: [429.21, 639.43], [454.88, 634.94], [431.11, 697.57], [458.48, 705.90]
Frame 129: [429.17, 639.45], [454.98, 634.81], [431.28, 697.60], [458.33, 705.92]
